ArticleTitle,ArticleID,Fund,WinningBid 
Fan,83098,General Fund,$261.00 
File Cabinet,83099,General Fund,$11.01 
Book Case,83106,General Fund,$27.00 
Book Case,83107,General Fund,$27.00 
2004 Harley Davidson,83109,Enterprise,$4500.01 
4 Chairs,83111,General Fund,$37.00 
4 Chairs,83112,General Fund,$50.00 
2 Electric Ranges,83113,Enterprise,$81.00 
2003 Ford F-150,83115,Enterprise,$5150.00 
1998 Porsche Boxster Convertible,83117,Enterprise,$10050.00 
1970 Oldsmobile Cutlass,83118,Enterprise,$15500.00 
Dell Computer,83119,General Fund,$57.00 
Dell Computer,83120,General Fund,$47.51 
Dell Computer,83121,General Fund,$47.51 
Dell Computer,83122,General Fund,$43.77 
Dell Computer,83123,General Fund,$47.51 
Dell Computer,83124,General Fund,$37.01 
Dell Computer,83125,General Fund,$20.02 
Dell Computer,83128,General Fund,$32.01 
Dell Laptop w/Bag,83129,General Fund,$88.55 
Dell Laptop w/Bag,83130,General Fund,$88.99 
Dell Laptop w/Bag,83131,General Fund,$88.55 
Dell Laptop w/Bag,83132,General Fund,$86.99 
Dell Laptop w/Bag,83133,General Fund,$79.77 
Dell Laptop w/Bag,83134,General Fund,$76.00 
Dell Laptop w/Bag,83136,General Fund,$68.00 
Dell Laptop w/Bag,83137,General Fund,$42.00 
Dell Laptop w/Bag,83138,General Fund,$37.99 
Radio Equipment,83139,Enterprise,$405.00 
Radio Equipment,83140,Enterprise,$106.99 
Radio Equipment,83141,Enterprise,$53.51 
Radio Equipment,83142,Enterprise,$620.00 
Radio Equipment,83143,Enterprise,$217.99 
Radio Equipment,83144,Enterprise,$895.00 
Radio Equipment,83146,Enterprise,$320.00 
Estate Stove,83150,Enterprise,$107.00 
Estate Stove,83151,Enterprise,$94.00 
Frigidaire Refrigerator,83152,Enterprise,$170.99 
Kenmore Washer/Dryer Combo,83153,Enterprise,$205.00 
Frigidaire Dishwasher,83154,Enterprise,$52.00 
Frigidaire Stove,83157,Enterprise,$99.00 
2 Refrigerators,83158,Enterprise,$5.00 
Snap-On Counselor XL Diagnostic Machine,83160,Enterprise,$103.00 
File Cabinet,83161,General Fund,$16.00 
File Cabinet,83162,General Fund,$11.00 
File Cabinet,83163,General Fund,$9.01 
3 File Cabinets,83165,General Fund,$28.01 
Desk,83166,General Fund,$13.50 
Desk,83167,General Fund,$9.62 
Desk,83168,General Fund,$9.62 
Desk,83169,General Fund,$8.50 
Desk,83170,General Fund,$16.00 
Desk,83171,General Fund,$37.00 
Desk,83172,General Fund,$8.01 
Desk,83173,General Fund,$62.00 
Desk w/Return,83174,General Fund,$1.00 
Table,83175,General Fund,$30.50 
2 CPU Carts,83176,General Fund,$13.00 
Desk,83177,General Fund,$11.00 
Desk,83178,General Fund,$3.01 
Desk,83179,General Fund,$12.01 
2 File Cabinets,83180,General Fund,$6.03 
Printers & Paper Trays,83181,General Fund,$9.00 
Hutch,83182,General Fund,$16.00 
Steelcase Lateral File Cabinet,83183,General Fund,$8.01 
Steelcase Lateral File Cabinet,83184,General Fund,$9.99 
Metal Shelf,83185,General Fund,$19.00 
Metal Shelf,83186,General Fund,$28.00 
Lateral File Cabinet,83187,General Fund,$11.00 
Shelf,83188,Enterprise,$37.69 
File Cabinet,83215,General Fund,$20.00 
22 HP Printers,83189,Enterprise,$32.00 
16 Flat Screen Monitors,83190,Enterprise,$2.00 
14 Flat Screen Monitors,83191,Enterprise,$3.00 
10 APC Batteries,83192,Enterprise,$33.00 
Chair,83193,Enterprise,$37.00 
Chair,83194,Enterprise,$10.01 
Chair,83195,Enterprise,$52.00 
Chair,83196,Enterprise,$21.00 
Chair,83197,Enterprise,$37.00 
Chair,83198,Enterprise,$21.00 
Chair,83199,Enterprise,$23.00 
Chair,83200,Enterprise,$47.00 
Chair,83201,Enterprise,$23.00 
Books,83202,Enterprise,$20.26 
Vacant Land - 202 Queen Avenue Nashville TN 37207,83203,General Fund,$11600.00 
Plumbing Parts,83204,Enterprise,$155.00 
Assorted Decor,83205,Enterprise,$27.00 
3 Amana AC/Heat Units,83206,Enterprise,$1200.00 
3 Amana AC/Heat Units,83207,Enterprise,$1450.15 
4 Amana AC/Heat Units,83208,Enterprise,$1830.00 
2 McQuay AC/Heat Units,83209,Enterprise,$515.03 
Desk,83210,General Fund,$33.00 
Metal Shelf,83211,General Fund,$16.01 
Desk,83212,General Fund,$4.33 
Olathe Blower,83213,General Fund,$174.00 
Guard Security Pad Lock,83214,General Fund,$6.00 
3 Chairs,83216,General Fund,$29.00 
2 Office Chairs,83217,General Fund,$15.81 
Chair,83218,General Fund,$2.30 
2 Madam Street Pole Light Kits,83219,Enterprise,$81.00 
End Table,83220,General Fund,$13.00 
2 Heaters & 6 Mounting Adaptors,83221,Enterprise,$23.00 
2 'Jensen' Cabinets,83222,Enterprise,$12.00 
20 Doors,83223,Enterprise,$46.00 
'Bootz Industries' Sink,83224,Enterprise,$3.08 
'Kingsford' Sink,83225,Enterprise,$27.00 
DA-Lite Projector Screen w/Stand,83226,Enterprise,$27.00 
'Kingsford' Sink,83227,Enterprise,$30.00 
'Kingsford' Sink,83228,Enterprise,$21.00 
'Bootz Industries' Sink,83229,Enterprise,$15.88 
'Watts' Regulator,83230,General Fund,$24.78 
Kimball International Office Chair,83231,General Fund,$21.00 
76 Hon Co. Chairs,83232,Enterprise,$460.00 
'Coronet' Lamp,83233,General Fund,$21.00 
"Dayton 20"" 3-Speed Window Fan",83234,Enterprise,$41.40 
"Dayton 20"" 3-Speed Window Fan",83235,Enterprise,$43.00 
Waterloo Tool Box,83236,Enterprise,$21.00 
"Dayton 20"" 3-Speed Window Fan",83237,Enterprise,$41.36 
GE Gas Stove,83238,Enterprise,$175.00 
Jensen Bathroom Cabinet,83239,Enterprise,$10.01 
Jensen Bathroom Cabinet,83240,Enterprise,$12.02 
Metal Shelf,83241,General Fund,$18.50 
Metal Shelf,83242,General Fund,$36.50 
Louisville Ladder,83243,General Fund,$23.00 
Ladder,83244,General Fund,$27.00 
6 ft. Louisville Step-Ladder,83245,General Fund,$44.00 
Book Case,83246,General Fund,$19.00 
Book Case,83247,General Fund,$11.35 
Book Case,83248,General Fund,$7.50 
PS3 Game,83249,Enterprise,$2.00 
PS3 Game,83250,Enterprise,$2.00 
PS3 Game,83251,Enterprise,$27.00 
PS3 Game,83252,Enterprise,$10.00 
PS3 Game,83253,Enterprise,$4.51 
PS3 Game,83254,Enterprise,$10.01 
PS3 Game,83255,Enterprise,$9.00 
PS3 Game,83256,Enterprise,$4.51 
2 PS3 Games,83257,Enterprise,$10.00 
2 PS3 Games,83258,Enterprise,$21.00 
3 PS3 Games,83259,Enterprise,$11.00 
Nike Air Griffey Max Tennis Shoes,83260,Enterprise,$53.00 
Nike Air Max 90 Tennis Shoes,83261,Enterprise,$27.00 
Nike Air Force 1 '07 Tennis Shoes,83262,Enterprise,$49.00 
Nike Air Zoom Tuff Jet 97 Tennis Shoes,83263,Enterprise,$69.02 
Adidas Tennis Shoes,83264,Enterprise,$16.00 
Jordan Tennis Shoes,83265,Enterprise,$83.00 
Nike Boots,83267,Enterprise,$42.00 
Nike Air Zoom Turf Jet '97 Tennis Shoes,83268,Enterprise,$65.00 
2002 Chevrolet Monte Carlo,83269,Enterprise,$915.50 
2001 Lexus LS430,83270,Enterprise,$5051.00 
2005 Chevrolet Tahoe,83271,Enterprise,$2700.00 
2000 Lincoln LS,83272,Enterprise,$700.01 
1998 Toyota Camry,83273,Enterprise,$2925.00 
2005 Chrysler 300,83274,Enterprise,$3975.10 
2003 Lexus LS430,83275,Enterprise,$7850.00 
10 Chairs,83276,General Fund,$103.00 
File Cabinet,83277,General Fund,$11.01 
File Cabinet,83278,General Fund,$5.00 
Desk,83279,General Fund,$3.00 
Desk,83280,General Fund,$19.55 
Desk,83281,General Fund,$10.01 
Steelcase Desk,83283,General Fund,$62.00 
CPU Desk,83284,General Fund,$7.69 
CPU Desk,83285,General Fund,$42.00 
Stand,83286,General Fund,$5.00 
Can-Am File Cabinet,83287,General Fund,$52.00 
Magnavox VCR,83288,General Fund,$2.00 
Steelcase File Cabinet,83289,General Fund,$21.00 
File Cabinet,83290,General Fund,$27.00 
Assorted Electronics,83291,General Fund,$15.50 
Table,83292,General Fund,$24.00 
Shelving,83293,General Fund,$1130.01 
Light Fixtures,83294,Enterprise,$151.02 
Fencing,83296,General Fund,$40.01 
Concrete Drainage Tank,83298,General Fund,$29.00 
Service Welding & Machine Gas Tank,83299,General Fund,$195.00 
2 Chairs,83300,General Fund,$7.69 
Assorted Printer Cartridges,83301,General Fund,$9.00 
Table,83302,General Fund,$6.00 
33 Dell Computers,83305,General Fund,$750.00 
41 Dell Computers,83306,General Fund,$825.00 
7 Dell Computers,83309,Enterprise,$100.01 
1 Batch of Wire,83310,Enterprise,$101.00 
1 Batch of Wire,83311,Enterprise,$100.01 
Computer Brackets,83312,Enterprise,$18.50 
Computer Brackets,83313,Enterprise,$19.50 
8 Chairs,83315,General Fund,$42.13 
6 Chairs,83316,General Fund,$13.00 
Book Case,83317,General Fund,$16.00 
Book Case,83318,General Fund,$9.01 
File Cabinet,83319,General Fund,$27.00 
18 HP Computers,83320,Enterprise,$150.01 
"Samsung 46"" LCD Flat Screen TV",83321,Enterprise,$310.01 
"Sony Bravia 52"" LCD Flat Screen TV",83322,Enterprise,$410.50 
Fender Stratocaster Guitar,83323,Enterprise,$860.00 
XBox 360,83324,Enterprise,$63.25 
Compaq Laptop,83325,Enterprise,$62.52 
New Era Hat,83326,Enterprise,$11.00 
New Era Hat,83327,Enterprise,$11.00 
New Era Hat,83328,Enterprise,$15.10 
New Era Hat,83329,Enterprise,$12.00 
New Era Hat,83330,Enterprise,$11.00 
New Era Hat,83331,Enterprise,$13.00 
New Era Hat,83332,Enterprise,$13.00 
New Era Hat,83333,Enterprise,$11.00 
New Era Hat,83334,Enterprise,$12.00 
2007 Nissan Altima,83336,Enterprise,$6100.00 
2008 Ford F-350,83337,Enterprise,$18600.00 
2008 Hyundai Sonata,83338,Enterprise,$4426.00 
2011 Toyota Tundra,83339,Enterprise,$30403.00 
18 HP Computers,83340,Enterprise,$57.00 
18 Computers,83341,Enterprise,$90.01 
2005 ATM Dual Axle Trailer,83342,Enterprise,$1825.00 
Desk,83343,General Fund,$45.00 
Office Furniture,83344,General Fund,$42.00 
Shelf,83345,General Fund,$11.00 
Shelf,83346,General Fund,$11.00 
Shelf,83347,General Fund,$10.01 
Shelf,83348,General Fund,$5.01 
Shelf,83349,General Fund,$6.01 
Stove,83350,Enterprise,$52.00 
Stove,83351,Enterprise,$73.00 
File Cabinet,83352,General Fund,$8.02 
File Cabinet,83353,General Fund,$24.00 
Cart,83354,General Fund,$50.01 
Refrigerator,83356,General Fund,$29.00 
Book Case,83357,General Fund,$11.00 
Shelf,83358,General Fund,$7.51 
Shelf,83359,General Fund,$6.01 
Shelf,83360,General Fund,$11.80 
6 Chairs w/Writing Pads,83361,Enterprise,$42.00 
4 Chairs w/Writing Pads,83362,Enterprise,$21.00 
Book Case,83363,General Fund,$5.00 
Book Case,83364,General Fund,$5.00 
Book Case,83365,General Fund,$16.01 
Book Case,83366,General Fund,$9.00 
Sew Eurodrive Gearbox,83367,Enterprise,$32.00 
Dell Computer,83368,Enterprise,$26.00 
Dell Computer,83369,Enterprise,$22.00 
Dell Computer,83370,Enterprise,$20.52 
Dell Computer,83372,Enterprise,$22.51 
Dell Computer,83373,Enterprise,$17.01 
Dell Computer,83374,Enterprise,$21.99 
Dell Computer,83375,Enterprise,$16.02 
15 Dell Computers,83376,Enterprise,$205.00 
18 Dell Computers,83377,Enterprise,$50.01 
Virginia Mill Works Co. Hardwood Flooring,83381,Enterprise,$1482.00 
Virginia Mill Works Co. Hardwood Flooring,83382,Enterprise,$1535.00 
Virginia Mill Works Co. Hardwood Flooring,83383,Enterprise,$1700.00 
Stair Tek Stair Tread,83384,Enterprise,$258.00 
"4 Hankook Tires w/22"" Rims",83385,Enterprise,$510.01 
Milwaukee Sawzall w/Case,83386,Enterprise,$59.00 
Bostitch Nail Gun w/Case,83387,Enterprise,$38.99 
Porter-Cable Hand Saw w/Case,83388,Enterprise,$43.50 
Makita Planer w/Case,83389,Enterprise,$68.00 
Husky Tool Bag w/Assorted Tools,83390,Enterprise,$45.00 
DeWalt 4.5 Gallon Air Compressor,83391,Enterprise,$155.03 
Johnson 2 ft. Level,83392,Enterprise,$9.00 
DeWalt Jig Saw w/Case,83393,Enterprise,$73.12 
Bostitch Nail Gun w/Case,83394,Enterprise,$55.02 
Husky Carry Box w/Assorted Tools,83395,Enterprise,$37.00 
Arrow Staple Gun,83396,Enterprise,$2.00 
Makita 18v Cordless Drill,83397,Enterprise,$50.01 
Makita 18v Cordless Drill,83398,Enterprise,$60.25 
Makita 18v Cordless Drill,83399,Enterprise,$88.63 
3M Aspirator,83400,Enterprise,$3.00 
Serving Line,83401,Enterprise,$150.01 
South Bend Double Oven,83402,Enterprise,$151.00 
South Bend Double Oven,83403,Enterprise,$351.00 
South Bend Oven,83404,Enterprise,$410.00 
Toast Master Double Oven,83405,Enterprise,$46.00 
Toast Master Double Oven,83406,Enterprise,$331.00 
Hussmann Double Oven,83407,Enterprise,$118.03 
Table w/Pot Rack,83408,Enterprise,$213.00 
Victory Refrigerator,83409,Enterprise,$108.03 
Victory Refrigerator,83410,Enterprise,$108.03 
South Bend Fryer,83411,Enterprise,$411.00 
South Bend Steamer,83412,Enterprise,$42.00 
Ford E-350 Cargo Van,83413,Enterprise,$2375.00 
2003 Ford E-350 Cargo Van,83414,Enterprise,$4175.00 
2003 Ford E-350 Cargo Van,83415,Enterprise,$4015.00 
2003 Ford E-350 Cargo Van,83416,Enterprise,$3800.00 
2003 Ford E-350 Cargo Van,83417,Enterprise,$3190.01 
2003 Ford E-350 Cargo Van,83418,Enterprise,$3402.00 
2006 Dodge Charger,83419,Enterprise,$7150.00 
South Bend Double Oven,83420,Enterprise,$94.00 
South Bend Double Oven,83421,Enterprise,$194.76 
South Bend Double Oven,83422,Enterprise,$259.00 
South Bend Double Oven,83423,Enterprise,$133.00 
Hoshizaki Ice Maker,83424,Enterprise,$105.56 
Victory Refrigerator,83425,Enterprise,$107.00 
Serving Line,83426,Enterprise,$196.01 
Hohner Guitar w/Case,83427,Enterprise,$250.12 
"RCA 32"" LCD Flat Screen TV",83428,Enterprise,$63.11 
"Vizio 37"" LCD Flat Screen TV",83429,Enterprise,$130.00 
New Era Hat,83430,Enterprise,$11.00 
New Era Hat,83431,Enterprise,$14.00 
New Era Hat,83432,Enterprise,$6.00 
New Era Hat,83433,Enterprise,$1.00 
New Era Hat,83434,Enterprise,$15.00 
American Needle Hat,83435,Enterprise,$15.00 
Mitch & Ness Hat,83436,Enterprise,$12.00 
Lids Hat,83437,Enterprise,$1.00 
Rocawear Hat,83438,Enterprise,$1.00 
KB Ethos Hat,83439,Enterprise,$2.00 
Wahvc 4800 MP Mixer,83440,Enterprise,$308.00 
Table,83441,Enterprise,$10.00 
Computers Monitors & Printers,83442,General Fund,$156.51 
Dell Computers & Laptops,83444,General Fund,$1001.52 
Dell Computers & Laptops,83445,General Fund,$4200.00 
PC Accessories,83446,General Fund,$45.00 
Computers Monitors & Server,83447,General Fund,$233.51 
99 Dell Computers,83448,General Fund,$1725.00 
Buffet Table,83449,Enterprise,$25.00 
Buffet Table,83450,Enterprise,$27.00 
Buffet Table,83451,Enterprise,$24.00 
Bulletin Board,83473,General Fund,$13.00 
Bulletin Board,83474,General Fund,$13.00 
118 Chairs,83452,Enterprise,$228.00 
10 Office Chairs,83453,General Fund,$65.00 
13 Chairs,83454,General Fund,$44.80 
Book Case,83455,General Fund,$16.00 
Book Case,83456,General Fund,$16.99 
Lateral File Cabinet,83457,General Fund,$7.00 
Lateral File Cabinet,83458,General Fund,$13.03 
Lateral File Cabinet,83459,General Fund,$16.00 
Lateral File Cabinet,83460,General Fund,$21.00 
Desk,83462,General Fund,$27.00 
"Dell 17"" Flat Screen Monitor",83463,General Fund,$22.51 
"Dell 17"" Flat Screen Monitor",83464,General Fund,$22.51 
"Dell 19"" Flat Screen Monitor",83465,General Fund,$27.51 
"Dell 19"" Flat Screen Monitor",83466,General Fund,$25.52 
"Dell 19"" Flat Screen Monitor",83467,General Fund,$23.00 
"Dell 19"" Flat Screen Monitor",83468,General Fund,$22.51 
Desk,83470,General Fund,$7.00 
Desk,83471,General Fund,$5.00 
Desk,83472,General Fund,$5.00 
Office Supplies,83475,General Fund,$64.00 
5 Chairs w/Dolly,83477,General Fund,$5.81 
Podium,83478,General Fund,$51.53 
Cart,83479,General Fund,$37.00 
Office Supplies,83480,General Fund,$33.00 
Book Case,83481,General Fund,$21.00 
Books,83482,General Fund,$11.11 
Drive Shafts,83483,Enterprise,$30.01 
Auto Parts,83484,Enterprise,$66.00 
5 Catalytic Converters,83486,Enterprise,$62.00 
Dell Computer,83487,Enterprise,$29.51 
3 Tires,83488,Enterprise,$68.00 
3 Tires,83489,Enterprise,$155.00 
4 Tires,83490,Enterprise,$78.00 
2 Dell Laptops,83491,General Fund,$50.00 
2 Dell Laptops,83492,General Fund,$52.01 
2 Dell Laptops,83493,General Fund,$33.51 
2 Dell Laptops,83494,General Fund,$52.00 
2 Dell Laptops,83495,General Fund,$100.01 
2 Dell Laptops,83496,General Fund,$100.01 
2 Dell Laptops,83497,General Fund,$105.01 
2 Dell Laptops,83498,General Fund,$100.00 
2 Dell Laptops,83499,General Fund,$93.00 
2 Dell Laptops,83500,General Fund,$78.00 
Casio Cash Register,83501,General Fund,$11.02 
Fire Extinguishers,83502,Enterprise,$107.01 
15 Light Fixtures,83503,Enterprise,$357.00 
2 Dell Laptop Bags,83504,General Fund,$7.50 
Telephones,83506,General Fund,$54.00 
Lamp,83507,General Fund,$14.02 
Picture,83508,General Fund,$11.00 
1976 BMW R90/6,83510,Enterprise,$2326.00 
2003 Ford E-350 Cargo Van,83512,Enterprise,$2976.00 
2003 Ford E-350 Cargo Van,83513,Enterprise,$2525.00 
2003 Ford E-350 Cargo Van,83514,Enterprise,$3501.00 
2007 Ford Explorer,83515,Enterprise,$1500.01 
2004 Chevrolet 1500,83517,Enterprise,$3226.00 
2003 Chevrolet 1500,83519,Enterprise,$3126.00 
Table,83520,General Fund,$5.00 
Lateral File Cabinet,83526,General Fund,$27.00 
TAB Lateral File Cabinet,83528,General Fund,$16.05 
Steelcase File Cabinet,83529,General Fund,$27.00 
Yawman & Rochester File Cabinet,83530,General Fund,$13.00 
CPU Table,83533,General Fund,$1.00 
Cart,83534,General Fund,$27.00 
Office Electronics,83535,General Fund,$115.00 
Stool,83537,General Fund,$16.05 
3 Chairs,83538,General Fund,$6.40 
2 Office Chairs,83539,General Fund,$7.40 
2 Chairs,83540,General Fund,$14.27 
12 Bulleltin Boards w/Stands,83544,Enterprise,$35.00 
"LG 42"" Flat Screen Plasma TV",83545,Enterprise,$190.00 
"Samsung 51"" Flat Screen Plasma TV",83546,Enterprise,$470.00 
Jordan Tennis Shoes,83587,Enterprise,$42.00 
2 Pallets of Paint,83548,Enterprise,$34.00 
1 Pallet of Floor Finish,83549,Enterprise,$76.00 
Serving Line,83553,Enterprise,$88.00 
Baker's Table,83555,Enterprise,$165.09 
Table,83557,Enterprise,$151.00 
Commercial Freezer,83559,Enterprise,$106.01 
Desk,83562,Enterprise,$21.00 
Hussman Commercial Freezer,83565,Enterprise,$83.00 
Whirlpool Dryer,83566,Enterprise,$52.00 
Couch w/Ottoman,83568,Enterprise,$400.01 
"Philips 46"" Flat Screen LCD TV",83570,Enterprise,$251.02 
Patio Chairs,83573,Enterprise,$84.00 
4 Wii Remotes,83578,Enterprise,$50.00 
Nintendo Wii Console,83580,Enterprise,$81.00 
Oreck Air Purifier,83582,Enterprise,$54.00 
Nike Air Force 1 Tennis Shoes,83584,Enterprise,$21.00 
Air Jordan Tennis Shoes,83588,Enterprise,$40.00 
Apple 16GB iPad 2,83590,Enterprise,$296.00 
1 Germicidal Cabinet,83594,Enterprise,$37.00 
Flammable Cabinet,83599,Enterprise,$102.60 
2 Pianos,83600,Enterprise,$33.00 
Desk,83609,Enterprise,$41.00 
7 Kimball Chairs,83613,Enterprise,$73.51 
Ford Radios,83616,Enterprise,$89.00 
Vacant Land - 1619 Underwood Street Nashville TN 37208,82754,General Fund,$23100.00 
36 Dell Computers,82885,General Fund,$1755.00 
Vacant Commercial Land - 1220 Martin Street Nashville TN 37203,82930,General Fund,$179999.01 
Vacant Land - 201 Richardson Avenue Nashville TN 37207,83045,General Fund,$37972.00 
Radio Equipment,83145,Enterprise,$1150.00 
Radio Equipment,83147,Enterprise,$795.00 
Desk,83282,General Fund,$11.01 
Bricks,83295,General Fund,$233.00 
Solartronics Gas Heaters,83297,General Fund,$101.00 
Display Board,83303,General Fund,$47.00 
Display Board w/Case,83304,General Fund,$80.99 
15 Dell Computers,83307,Enterprise,$78.26 
15 Dell Computers,83308,Enterprise,$155.01 
Mitchell & Ness Hat,83335,Enterprise,$13.00 
Power Ventilation System,83355,General Fund,$65.00 
Kenmore Stove,83380,Enterprise,$47.00 
23 Monitors,83443,General Fund,$106.00 
File Cabinet,83461,General Fund,$14.00 
Work Station,83476,General Fund,$32.00 
Auto Parts,83485,Enterprise,$80.00 
Chair,83505,General Fund,$6.00 
2003 Ford Explorer,83516,Enterprise,$1040.00 
Table,83521,General Fund,$7.00 
Table,83522,General Fund,$10.01 
Lateral File Cabinet,83523,General Fund,$20.00 
Lateral File Cabinet,83524,General Fund,$20.00 
Lateral File Cabinet,83525,General Fund,$20.00 
Steelcase Lateral File Cabinet,83527,General Fund,$20.00 
Yawman & Rochester File Cabinet,83531,General Fund,$9.01 
CPU Table,83532,General Fund,$2.00 
Alnor Compu Flow Thermo Anemometer,83536,General Fund,$106.00 
2 Chairs,83541,General Fund,$5.00 
Chair,83542,General Fund,$7.00 
Office Chair,83543,General Fund,$27.00 
Paint,83547,Enterprise,$23.00 
2 Cafeteria Tables,83550,Enterprise,$16.02 
4 Cafeteria Tables,83551,Enterprise,$32.01 
4 Cafeteria Tables,83552,Enterprise,$83.00 
Table,83556,Enterprise,$78.00 
Southbend Double Stack Oven,83558,Enterprise,$131.00 
Steamer,83560,Enterprise,$254.00 
Steamer,83561,Enterprise,$78.00 
Cleveland Kettle,83563,Enterprise,$205.00 
Beverage-Air Milk Cooler,83564,Enterprise,$98.00 
"Sharp 42"" Flat Screen LCD TV",83569,Enterprise,$179.62 
PS3 Game Console,83571,Enterprise,$121.01 
Magnavox Blu-ray Player,83572,Enterprise,$17.01 
Sony PS3 Controller,83574,Enterprise,$28.75 
XBox 360 Controller,83575,Enterprise,$25.01 
XBox 360 Controller,83576,Enterprise,$25.02 
Carson Binoculars,83577,Enterprise,$90.00 
TV Stand,83581,Enterprise,$82.00 
RCA Blu-ray Home Theater,83583,Enterprise,$103.00 
Jordan Tennis Shoes,83585,Enterprise,$52.00 
Jordan Tennis Shoes,83586,Enterprise,$78.00 
Desk,83778,General Fund,$3.00 
Air Jordan Tennis Shoes,83589,Enterprise,$54.00 
Netbook Bags,83591,Enterprise,$165.00 
2 Germicidal Cabinets,83592,Enterprise,$71.00 
2 Germicidal Cabinets,83593,Enterprise,$32.00 
Flammable Cabinet,83595,Enterprise,$98.00 
Flammable Cabinet,83596,Enterprise,$259.00 
Flammable Cabinet,83597,Enterprise,$259.00 
Flammable Cabinet,83598,Enterprise,$156.00 
2 Pianos,83601,Enterprise,$33.00 
2 Cafeteria Tables,83602,Enterprise,$52.00 
Cabinet,83603,Enterprise,$22.95 
Table,83604,Enterprise,$78.00 
Table,83605,Enterprise,$69.00 
Table,83606,Enterprise,$69.00 
Milk Cooler,83607,Enterprise,$106.00 
Cooler,83608,Enterprise,$283.00 
Serving Line,83610,Enterprise,$313.14 
Danby Refrigerator,83611,Enterprise,$7.00 
16 Kimball Chairs,83612,Enterprise,$116.00 
Fire Extinguishers,83614,Enterprise,$130.01 
Fire Extinguishers,83615,Enterprise,$50.01 
Carrel,83617,General Fund,$2.00 
CPU Desk,83618,General Fund,$1.00 
2 Cabinets,83619,General Fund,$91.00 
Ceiling Tile,83620,General Fund,$93.00 
Werner Scaffolding,83621,General Fund,$900.00 
Portable Sink Drain,83622,General Fund,$23.76 
Cabinet w/Wheels,83623,General Fund,$9.98 
Table,83624,General Fund,$4.00 
Table,83625,General Fund,$6.00 
2004 Thomas School Bus,83626,Enterprise,$3055.00 
Tennsco Shelf,83627,General Fund,$18.00 
Desk,83628,General Fund,$1.00 
Table,83629,General Fund,$1.00 
Designcraft Lateral File Cabinet,83630,General Fund,$4.01 
2004 Chevrolet Astro,83631,Enterprise,$2125.00 
6 Compact Frigidaire Refrigerators,83632,Enterprise,$23.00 
2001 Bobcat 773 Skid Loader,83633,Enterprise,$2050.00 
2003 Ford F-350,83634,Enterprise,$4875.00 
2005 Chevrolet 1500,83635,Enterprise,$4276.00 
2005 Chevrolet 1500,83636,Enterprise,$4526.00 
Office Electronics & Supplies,83637,General Fund,$78.99 
2003 Ford F-350,83638,Enterprise,$3575.00 
Office Supplies & Electronics,83639,General Fund,$78.99 
Phone Equipment,83640,General Fund,$219.99 
Phone Equipment,83642,General Fund,$219.99 
Assorted Dell PC's & Laptops,83643,General Fund,$6750.00 
2005 Chevrolet 1500,83644,Enterprise,$4401.00 
2003 Ford F-350,83645,Enterprise,$5025.00 
Ladies Earrings,83647,Enterprise,$167.00 
Men's Black Diamond Watch,83648,Enterprise,$645.00 
Ladies Earrings,83649,Enterprise,$30.00 
Ladies Necklace,83650,Enterprise,$68.00 
Men's Diamond Ring,83651,Enterprise,$615.00 
Pendant,83652,Enterprise,$103.00 
14KT Yellow Gold Chain and Pendant,83653,Enterprise,$485.00 
Ladies Bracelet,83654,Enterprise,$88.00 
Men's Ring,83655,Enterprise,$44.00 
Glass Jewelry Box,83657,Enterprise,$16.00 
Ladies Watch,83658,Enterprise,$90.00 
Ladies Ring,83660,Enterprise,$31.00 
Men's Watch,83661,Enterprise,$130.00 
Ladies Diamond Cluster Ring,83662,Enterprise,$1000.00 
Pendant,83663,Enterprise,$155.00 
Men's Diamond Ring,83665,Enterprise,$360.00 
Chair,83666,General Fund,$3.80 
Quartet Dry Erase Board,83667,General Fund,$34.00 
Apple 8GB iPod,83668,Enterprise,$50.00 
Beverage-Air Milk Cooler,83669,Enterprise,$52.00 
Molds,83670,General Fund,$44.00 
Molds,83671,General Fund,$42.00 
Molds,83672,General Fund,$42.00 
Molds,83673,General Fund,$42.00 
Shelving,83674,General Fund,$98.00 
Buffer,83675,General Fund,$78.99 
Lockers,83676,Enterprise,$89.71 
Assorted Electrical Parts,83677,Enterprise,$53.00 
File Cabinet,83678,Enterprise,$18.00 
Digital Watch,83679,Enterprise,$155.00 
40 Assorted Dell Laptops,83682,General Fund,$716.00 
New Era Hat,83725,Enterprise,$7.01 
41 Dell Computers & 2 Printers,83683,General Fund,$435.51 
Assorted Office Electronics,83684,General Fund,$285.00 
Fire Hoses,83685,Enterprise,$52.05 
5 Chairs,83686,Enterprise,$8.00 
Binders,83687,General Fund,$12.50 
Steelcase File Cabinet,83688,General Fund,$25.00 
6 Medical Bags,83689,General Fund,$20.01 
6 Dell Laptops,83690,General Fund,$62.00 
Swintec Typewriter,83691,General Fund,$14.00 
Nike Tennis Shoes,83692,Enterprise,$42.00 
Nike Tennis Shoes,83695,Enterprise,$21.00 
Nike Tennis Shoes,83696,Enterprise,$42.00 
Ice Cream Tennis Shoes,83699,Enterprise,$21.00 
Ice Cream Tennis Shoes,83700,Enterprise,$6.00 
Levi Jeans,83701,Enterprise,$25.00 
Levi Jeans,83702,Enterprise,$32.00 
Levi Jeans,83703,Enterprise,$29.00 
